Title,Artist,Price,Themes,Dimensions,Style,Description,Link,Image
Landscape With Poppies And A Girl,Mariia Fedorova,40.62,"['nature', 'landscape', 'flower', 'women', 'poppi', 'girl', 'dreams', 'red']",,Impressionism,"Woman looking at red poppies through the water, in the style of speedpainting, figurative art with a dreamy quality, realistic landscapes with soft, tonal colors, light red and black, faith-inspired art, romantic emotion, concept art

                
                    About this artwork: Classification,[...]",https://www.artmajeur.com/mariia-fedorova/en/artworks/17343772/landscape-with-poppies-and-a-girl,downloaded_images/17343772_imgonline-com-ua-bigpicture-6glum6jtjxnjz6.jpg
Kadife,Tahir Çıtır,50.62,"['moda', 'sanat', 'dijital', 'spesifik']",,Pop Art,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/tahir-citir/en/artworks/17669857/kadife,downloaded_images/17669857_img-20240307-181348-627.jpg
Energy,China Alicia Rivera,25.0,"['Energy', 'Evolution', 'Life', 'Building', 'Architecture', 'Art', 'Design Concept', 'Museum', 'Structure']",,Abstract,"Energy, Evolution, Life Building - Art By China Alicia Rivera (Creative Artist), ObsidianParadise23 | Photoshopflair | Abstract, Art, Design, Drawing, Illustration, Digital Arts, AiArt.  
 
About This Artwork: I am Journeying into a New World with my Art. This is AI Art Images that I Made using a mix of art and text prompts in a AI Art Generator[...]",https://www.artmajeur.com/china-alicia-rivera/en/artworks/17835661/energy-evolution-life-building,downloaded_images/17835661_img-9733.jpg
Finding Balance While Standing On One Le,Rita Ko,32.0,"['avant-garde', 'art', 'abstract', 'picture', 'geometric', 'digital', 'poster', 'image', 'design', 'composition', 'painting', 'wall decoration', 'graphic arts', 'background', 'color', 'black', 'red', 'blue', 'yellow', 'bright']",,Abstract,"Looking for balance while standing on one leg. 
Painting from the series “In the footsteps of the Russian avant-garde.” Interesting original picture. Abstract digital image. Size 6144x6144 pixels. The composition is built in a special way. You can rotate the picture 4 times and each time you will have a new image. New perception and new meaning.[...]",https://www.artmajeur.com/rita-ko/en/artworks/17392153/finding-balance-while-standing-on-one-leg,downloaded_images/17392153_12-23-05.jpg
Never Forget - Nelson Mandela - #016,Ded2008,52.0,"['nelson', 'mandela']",,Pop Art,"Art numérique tiré du projet Never Forget 
Nelson Mandela

                
                    About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts   [...]",https://www.artmajeur.com/ded2008/en/artworks/17287630/never-forget-nelson-mandela-016,downloaded_images/17287630_never-forget-nelson-mandela-08h.jpg
Salt Pillars,Oleh Zeitung,25.0,"['salt', 'sky', 'dark', 'end', 'sun', 'stars', 'people', 'alone', 'shadows']",,Abstract,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/oleh-zeitung/en/artworks/17519266/salt-pillars,downloaded_images/17519266_solani-stovpy.jpg
L'arbre De Lumière,Sonia Bühler,616.37,[],70x50 cm,Abstract,"Tableau photographique. 
 
Pour ce tableau photographique, j’ai peint un arbre sur une plaque de métal et j'ai fait un deuxième dessin d'arbre sur une toile. 
 
J'ai photographié ces deux dessins et les superposes dans un programme de photo pour qu'ils dialoguent entre eux.",https://www.artmajeur.com/sonia-buhler/en/artworks/17563576/l-arbre-de-lumiere,downloaded_images/17563576_arbre-lumiere.jpg
Red Dawn,Olga A Oprits,25.0,[],,Expressionism,"Highly expressive, original digital artwork in a beautiful Contemporary Expression style creatively brings you Surrounding lonesome Visions

                
                    About this artwork: Classification, Techniques & Styles
                [...]",https://www.artmajeur.com/olga-a-oprits/en/artworks/17652997/red-dawn,downloaded_images/17652997_bba96bc9-2217-4033-a329-9c3f48d297932024-01-12-15-49-27-332.jpg
Centinela,Manuel Arteaga,162.0,"['Arte surrealista', 'Robot', 'Estación espacial', 'Montañas', 'Colores vibrantes', 'Enigma', 'Misterio', 'Observación', 'Vulnerabilidad', 'Conciencia', 'Destino', 'Futuro', 'Posibilidades', 'Realidad', 'Fantasía', 'Imaginación', 'Vida', 'Muerte', 'Universo']",,Surrealism,"Centinela es una obra surrealista que invita al espectador a un viaje introspectivo a través de su enigmática composición. El robot, como símbolo de la humanidad, se alza vigilante en un paisaje onírico, rodeado de montañas que representan los desafíos que enfrentamos en esa dualidad existente. 
 
La obra nos recuerda que estamos constantemente[...]",https://www.artmajeur.com/manuel-arteaga/en/artworks/17719672/centinela,downloaded_images/17719672_centinela.jpg
Digital Color # 1,Franz Hümpfner,2148.8,"['digital', 'color', 'abstract', 'sublimation', 'chromaluxe']",80x80 cm,Abstract,"80x80x2 cm on ChromaLuxe HD, glossy finish. Limited to 10 prints + 2 AE with a Certificate of Authenticity. 
 
A ChromaLuxe HD sublimation print direct on metal (Aluminium 1,2 mm) with rear fixing. An attachment flange groove is used to loosen the image of the wall. With a contemporary appearance, the new ChromaLuxe technique is used by the[...]",https://www.artmajeur.com/franz-humpfner/en/artworks/16626592/digital-color-1,downloaded_images/16626592_digital-color-01-print.jpg
Skateboard - 3,Ibrahim Unal,196.65,"['skateboard', 'lines', 'lineart', 'line artwork', 'digital art', 'black and white']",42x29.7 cm,Geometric,"Again, a deep and magical spontaneous drawing created with simple, plain and monochrome lines. 
 
* The drawing is photographed with a frame as an example. 
**The drawing will be sent unframed.

                
                    About this artwork: Classification, Techniques & Styles[...]",https://www.artmajeur.com/ibrahim-unal/en/artworks/17814394/skateboard-3,downloaded_images/17814394_kaykay-son.jpg
Renaissance,Aurélie Pancrate,172.0,[],,Figurative,"About this artwork: Classification, Techniques & Styles
                      Figurative      Figurative and colorful painting having taken the liberty of including all forms of art[...]",https://www.artmajeur.com/aurelie-pancrate/en/artworks/17459506/renaissance,downloaded_images/17459506_sans-titre-36.jpg
Kissa,Jeanmi,25.0,"['chat', 'chatte', 'félins', 'angora', 'persan', 'sauvage', 'chasseur', 'race', 'animal', 'compagnie', 'concours', 'santé', 'soins', 'souris', 'mouse', 'conte', 'tale', 'dent', 'tooth', 'aventure']",,Abstract,"Intervention en post production pour la création d'univers féeriques et imaginaires. 
Techniques :Illustration,Dessin, Peinture,Digital,Photographie 
 
 
Édition limitée à 12 exemplaires. 
Signé à la main au dos. 
Livré avec certificat d'authenticité. 
Disponible en différentes tailles et supports (aluminium[...]",https://www.artmajeur.com/jeanmi-art/en/artworks/17816695/kissa,downloaded_images/17816695_kissa-jeanmi-art.jpg
Portrait 05,Eric Vogel,52.0,"['portrait de femme', 'art nemerique.']",,Street Art,"oeuvre numérique.

                
                    About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to[...]",https://www.artmajeur.com/ericvogel/en/artworks/17542795/portrait-05,downloaded_images/17542795_img-1193.jpg
Bouquet Of Red Roses,Rosanna Moniaci,1247.38,[],75x75 cm,,"About this artwork: Classification, Techniques & Styles
                      Digital Painting      Technique carried out using digital tools using a computer, a graphic tablet, a stylus[...]",https://www.artmajeur.com/rosanna-moniaci/en/artworks/17339467/bouquet-of-red-roses,downloaded_images/17339467_rose-rosse.jpg
Moine Bouddhiste En Méditation Avec Le C,Rigaud Mickaël (Gen Z),25.0,"['moine', 'moine bouddhiste', 'bouddhisme', 'méditation', 'spirituel', 'spiritualité', 'univers', 'espace', 'cosmos', 'planètes', 'galaxie', 'religion', 'asie', 'asiatique', 'étoiles', 'karma', 'conscience', 'zen', 'yoga']",,Surrealism,"Un moine bouddhiste assis en tailleur au milieu d'une praire ne semble faire qu'un avec l'univers et l'alignement des planètes. En pleine méditation transcendantale, le religieux élève son karma et sa conscience jusqu'aux confins du cosmos intergalactique.

                [...]",https://www.artmajeur.com/rigaud-mickael-gen-z/en/artworks/17747341/moine-bouddhiste-en-meditation-avec-le-cosmos,downloaded_images/17747341_buddhist-monk-meditating-260923-5196x7926.jpg
The Phantom Menace - Black Lightness Mat,Freudon Saké,25.0,[],,Pop Art,"Black Lightness Mater, ou Prima Mater, Momie d'une sainte carthaginoise, ressuscitée grâce à la Magie Noire que pratique l'Opus Die-Us. 
Sa mission est très simple, déclencher l'Apocalypse. 
Bien-sûr, le clan Krampus n'est pas vraiment d'accord et va farouchement la combattre. 
Tandis que la Pink Team Du F.B.I.,[...]",https://www.artmajeur.com/freudon-sake/en/artworks/17899441/the-phantom-menace-black-lightness-mater,downloaded_images/17899441_black-lightness-mater.jpg
Whispering Hues,Artopia By Nick,25.0,"['minimalist charm', 'abstract painting', 'thick brush strokes', 'obvious brushstrokes']",,Minimalism,"""Whispering Hues"" invites you into a world of soft subtlety and whispered emotions. This abstract painting, using Royal Blue, Peach, and White, employs oil paint to create a delicate dance of color. The thick brush strokes impart a sense of movement, with obvious brushstrokes revealing the artist's expressive touch. Charcoal lines delicately[...]",https://www.artmajeur.com/artopia-by-nick/en/artworks/17409706/whispering-hues,downloaded_images/17409706_abstract-royal-blue-peach-white-0013.jpg
Who Am I,Johan Van Dreven (jovadre),1160.35,"['wall art', 'home decor', 'naive art', 'decoration', 'wall decor', 'woman', 'green', 'story', 'story telling', 'narrative', 'no frame']",100x80 cm,Figurative,"This work is HQ digital printed , glued on dibond and finished with a protecting acryllic layer. Equipped with a sturdy hanging frame. 
 
From 2000 I started with digital edit. A mix of working with brushes combined with (parts of) other own images. In Photoshop there are countless possibilities to refine your work, for example with blending.",https://www.artmajeur.com/info-627/en/artworks/16771030/who-am-i,downloaded_images/16771030_xno-title-001-bella-voorbeeeld-before-2-2-copy-art-scale-1-50x-gigapixel-vergroot-copy.jpg
Flowers,Vladimir Semenov,25.0,[],,Illustration,"Flowers

                
                    About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse[...]",https://www.artmajeur.com/vladimir-semenov/en/artworks/17656486/flowers,downloaded_images/17656486_51.jpg
Autumn Nostalgia Vii,Cscreativemind,26.65,"['autumn', 'nostalgia', 'art', 'digitalart', 'painting', 'expresionism']",,Expressionism,"🍂✨ Dive into Autumn Nostalgia with our mesmerizing digital painting collection! 🎨🍁 Immerse yourself in the vivid hues and expressive strokes of expressionism. Let the colors of fall wrap you in a cozy embrace. 🖼️✨ Explore the beauty of the season through our art. Tap into the warmth of nostalgia today! 💫 
 
🔥🍂 #AutumnNostalgia #DigitalArt[...]",https://www.artmajeur.com/cscreativemind/en/artworks/17734885/autumn-nostalgia-vii,downloaded_images/17734885_autumn-nostalgia-vii.jpg
Anamorphose,Joel Gallais,561.91,[],60x60 cm,,"About this artwork: Classification, Techniques & Styles
                      Digital Painting      Technique carried out using digital tools using a computer, a graphic tablet, a stylus[...]",https://www.artmajeur.com/joel-gallais/en/artworks/17562973/anamorphose,downloaded_images/17562973_anamorphose-copie.jpg
Beyond Boundaries,Sankha Ghosh,66.56,"['Beyond Boundaries', 'Abstract Realism', 'Wall Art', 'Artistic Fusion', 'Contemporary Decor', 'Captivating Design', 'Wall Statement', 'Artful Transformation', 'Reality and Abstraction', 'Visual Delight', 'Challenging Perceptions', 'Visual Intrigue', 'Abstract Realms', 'Unleashed Boundaries', 'Fusion Artistry']",,Classicism,"Transform your space with ""Beyond Boundaries,"" a wall art masterpiece that unleashes the captivating allure of Abstract Realism. Immerse yourself in the unique fusion of realism and abstraction, where familiar subjects are transformed in unconventional ways. Each stroke captures the interplay of realistic details and imaginative forms, creating[...]",https://www.artmajeur.com/sankha-ghosh/en/artworks/17475418/beyond-boundaries,downloaded_images/17475418_upscales-ai-1704608328646-1.jpg
Brunete,Cláudio Aragão,25.0,"['rosto', 'mulher', 'beleza', 'brunete']",,Abstract,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/claudio-aragao/en/artworks/17955673/brunete,downloaded_images/17955673_1.jpg
Fingers,Galina Bakinova,68.54,"['hand', 'fingers', 'abstract', 'digital', 'art', 'poster', 'green']",,Abstract,"Abstract illustration depicting fingers. The illustration was created as a visualization of reflection on the subject of the author's inner experiences. The illustration can be used as a poster

                
                    About this artwork: Classification, Techniques & Styles[...]",https://www.artmajeur.com/galina-bakinova/en/artworks/17112301/fingers,downloaded_images/17112301_fingers-1.jpg
Space Of Concept Double Gold,Simone Tirelli,1277.46,[],,,"About this artwork: Classification, Techniques & Styles
                      Digital Painting      Technique carried out using digital tools using a computer, a graphic tablet, a stylus[...]",https://www.artmajeur.com/simone-tirelli/en/artworks/17485942/space-of-concept-double-gold,downloaded_images/17485942_space-of-concept-double-gold.jpg
Ball,O-Hido Sonia Art,25.0,"['donna', 'sexy', 'erotica', 'minimal', 'design minimal', 'sensuale', 'bellezza', 'mistero', 'maschera', 'palla', 'triangolo rosso', 'forme geometriche', 'corpo femminile', 'tacchi alti', 'gambe', 'moda', 'illustrazione di moda', 'stile', 'stile eccentrico', 'attraente']",,Illustration,"L'opera generata dall'intelligenza artificiale di Photoshop incarna un'aura di mistero e enigma che cattura lo sguardo dell'osservatore con la sua suggestiva composizione. Al centro della scena, una figura femminile avvolta da una maschera nera evoca un senso di intrigo e segretezza, mentre la sua postura seduta su una palla nera[...]",https://www.artmajeur.com/o-hido-sonia-art/en/artworks/17852719/ball,downloaded_images/17852719_donna-seduta-su-un-pallone.jpg
Death Is Near,Aleks Rosenberg,25.0,"['horse', 'rider', 'dark', 'death', 'grim reaper', 'ai', 'atmospheric']",,Expressionism,"This artwork is part of a new series called ""Vicissitudes."" Atmospheric images of horses, stallions, and riders crossing desolate terrains. The images are about extreme conditions - fear, loneliness, perseverance, and hope. The artwork was created with AI assistance, manipulated in digital software, and hand-printed on specially prepared[...]",https://www.artmajeur.com/aleks-rosenberg-9839179/en/artworks/17131429/death-is-near,downloaded_images/17131429_death-is-near-small.jpg
Paese Sull'acqua,Lorenzo Corti,72.0,"['paese', 'città', 'arte concettuale', 'notte', 'buio', 'luce', 'fiume', 'urbano', 'illustrazione', 'arte digitale', 'arte', 'opera', 'acqua', 'casa', 'edificio']",,Conceptual Art,"Illustrazione di un paese di notte su un fiume

                
                    About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts   [...]",https://www.artmajeur.com/lorenzo-corti/en/artworks/16965757/paese-sull-acqua,downloaded_images/16965757_qpzqhq0obtpn2lgl1qzg-3-b43ea-13-8889x.jpg
#8 Straight Way / Nft Possible,Francesco,8514.62,"['Weg', 'fotografie', 'digital', 'digitale kunst', '47.24x31.49 inch', 'Holz', 'versteinerung', 'Licht', 'versteinertes holz']",80x120 cm,Abstract,"Straight way 
 
Diese faszinierende Arbeit, die ihren Ursprung im Jahr 2024 hat, offenbart die außergewöhnliche Transformation einer alltäglichen Wasserspiegelung auf einer Straße in einen surreal wirkendes Stück versteinerten Holzes von unvergleichlicher Schönheit. Es ist ein Kunstwerk, das die Grenzen der Realität überschreitet und uns[...]",https://www.artmajeur.com/francesco-fine-art/en/artworks/17796730/8-straight-way-nft-possible,downloaded_images/17796730_ed-kopie-kopie.jpg
L'amour 2,Rocca Design,28.0,"['AMOUR', 'LOVE', 'LOVERS', 'POSTERS', 'AFFICHES', 'MOTS', 'CALIGRAPHIE', 'DECO', 'DECORATION', 'DESIGN', 'TABLEAU', 'IMPRESSION', 'GRAPHIQUE', 'LAMOUR']",,Calligraphy,"Découvrez l'essence même de l'amour à travers notre création artistique exceptionnelle, le poster ""L'AMOUR"". Cette œuvre graphique captivante est une célébration visuelle de l'amour sous son aspect le plus pur et le plus envoûtant. 
 
Au cœur de ce chef-d'œuvre, deux âmes se rejoignent dans une danse intemporelle[...]",https://www.artmajeur.com/roccart/en/artworks/17083132/l-amour-2,downloaded_images/17083132_img-8940.jpg
Açaí De Fogo,Junyor Palhares,91.43,"['Pessoas', 'paisagens', 'Humanas', 'Mulheres', 'Floresta', 'Carnaval', 'Brasil', 'Olhares', 'Desejos']",,Figurative,"As situações coletivas e públicas causam um ininterrupto fluxo caleidoscópico de impressões entre as pessoas que se aglomeram em busca de sensações. 
 
Estas relações criam diferentes graus de proximidade que, sem a percepção racional, ora invadem ora vasculham as territorialidades pessoais. 
 
Uma geometria inconsciente do espaço[...]",https://www.artmajeur.com/junyor-palhares/en/artworks/17366977/acai-de-fogo,downloaded_images/17366977_acai-de-fogo.jpg
Rainbow Sea,Benjamin Corbisiero,25.0,[],,,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/benjamin-corbisiero/en/artworks/17590132/rainbow-sea,downloaded_images/17590132_11-02-2.jpg
White Winds,Hans Korevaar,25.0,[],,,"Get a perfect print of this digital work.  
 
Sun, water, wind.

                
                    About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital[...]",https://www.artmajeur.com/hans-korevaar/en/artworks/17762947/white-winds,downloaded_images/17762947_white-winds.jpg
Tentacule De Pieuvre Mimétique (Détail),Pascal Maupas,491.0,"['Monde marin', 'Mer', 'Octopus', 'Pieuvre', 'Poulpe', 'Tentacule', 'Pieuvre mimétique']",70.8x70 cm,Figurative,"La tentacule de ce poulpe mimétique des îles Salomon (détail), multipliée en cinq exemplaires, a été colorisée différemment. Et chaque couleur dominante a généré sa couleur complémentaire pour le fond. La série fait référence au pop art américain, bien sûr ! 
 
Vous souhaiteriez un autre format pour cette œuvre, plus petit ou plus grand ?[...]",https://www.artmajeur.com/pascal-maupas/en/artworks/17845567/tentacule-de-pieuvre-mimetique-detail-variation-1,downloaded_images/17845567_tentacule-de-pieuvre-detail-variation-1-redim-2000.jpg
Digitale Kunst 1,Engelen Veronique,25.0,[],,Surrealism,"About this artwork: Classification, Techniques & Styles
                      Surrealism      Founded in 1923 by the writer André Breton, it will unite many artists like Salvador Dali[...]",https://www.artmajeur.com/engelen-veronique/en/artworks/16964950/digitale-kunst-1,downloaded_images/16964950_screenshot-20230628-224544-pinterest.jpg
Untitled #24,Munir Akhmejanov,27.0,[],,Abstract,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/munir-akhmejanov/en/artworks/17462872/untitled-24,downloaded_images/17462872_untitled-24.jpg
Dreams In Motion,Electrodoage,25.0,"['dream', 'dreams', 'emotions', 'human']",,Abstract,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/electrodoage/en/artworks/17860042/dreams-in-motion,downloaded_images/17860042_suenos-en-movimiento.jpg
Rhino Pop Art,Xavier Wttrwulghe,1036.8,"['Rhino', 'rhinoceros']",80x80 cm,Pop Art,"Impression sur aluminium d'un Rhino Pop Art 
Encadrement Chrome, ultra modern

                
                    About this artwork: Classification, Techniques & Styles
                                                                    [...]",https://www.artmajeur.com/xavier-wttrwulghe/en/artworks/16575970/rhino-pop-art,downloaded_images/16575970_r1.jpg
Um Sonho Vermelho,Fernex,33.63,"['arte abstrata', 'surrealismo', 'fantasia']",,Surrealism,"Um sonho vermelho, retrata o sentimento vazio do ser humano.

                
                    About this artwork: Classification, Techniques & Styles
                      Surrealism      Founded in 1923 by the writer[...]",https://www.artmajeur.com/fernex/en/artworks/16584676/um-sonho-vermelho,downloaded_images/16584676_fernex-abstract-329f8246-0c59-434a-9bb5-696cbed745b1-transformed.jpg
Oni,Iuliia Petrushenko,102.0,"['oni', 'deamon', 'samurai', 'japon', 'asia', 'legend', 'genchin']",,Oriental Art,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/iuliia-petrushenko/en/artworks/16502080/oni,downloaded_images/16502080_df4640129464793-616bdc8242394-1.jpg
Second Coming,Friedrich Ursprung,413.2,"['assembly', 'collage', 'folio', 'collection', 'exhibition', 'naked', 'truth', 'true', 'multiple', 'exposure', 'mystery', 'promise', 'prophecy', 'heresy', 'apostasy', 'schism', 'dissidence', 'blasphemy', 'heterodoxy', 'Ketzer']",44x25 cm,Conceptual Art,"it's going to be more intense and transformative 
than the first time around

                
                    About this artwork: Classification, Techniques & Styles
                      Video      Technique[...]",https://www.artmajeur.com/friedrich-ursprung/en/artworks/17838940/second-coming,downloaded_images/17838940_25442-coming.jpg
Panther,Pelin Gürses,25.0,"['nature', 'psychedelic']",,animal,"My work called “Color Hunter” from my Colorized Spirits colllection.

                
                    About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital[...]",https://www.artmajeur.com/pelin-gurses/en/artworks/16739827/panther,downloaded_images/16739827_18632a47-ea94-4343-88c1-127cf5a15b7f.jpg
Peace And Love,Eric L Vadé,25.0,[],,,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/eric-l-vade/en/artworks/17361664/peace-and-love,downloaded_images/17361664_resizer-17009391086519.jpg
Louis Xiv,Fj,52.0,"['louis', 'roi soleil', 'photographie', 'noir et blanc']",,Expressionism,"Le Roi Soleil, Sa Majesté Louis XIV, gracieusement capturé devant l'objectif d'un célèbre studio parisien lors d'une somptueuse soirée de gala en son honneur. L'image immortalise la majesté royale sans l'éclat des lumières, tout en révélant l'élégance de l'ère du règne. 
Photographie appartenant à la série ""Et[...]",https://www.artmajeur.com/fj00/en/artworks/17444290/louis-xiv,downloaded_images/17444290_louis-14.jpg
Calmness,Marta Joy,,"['#calmness', '#woman', '#sun']",,Conceptual Art,"About this artwork: Classification, Techniques & Styles
                      Digital Painting      Technique carried out using digital tools using a computer, a graphic tablet, a stylus[...]",https://www.artmajeur.com/marta-joy/en/artworks/16751104/calmness,downloaded_images/16751104_2-370.jpg
Chaos #001 Evolution,Martin Underwood,25.0,"['Abstract Art', 'Positive Energy Artwork', 'Shards of Light', 'Abstract Expressionism', 'Geometric Abstact Art', 'Chaos and Evolution', 'Evolving Universe Art', 'Expanding Forces', 'Motion in Art', 'Vibrant Art', 'Dynamic Abstract Art', 'Light and Geometry']",,Abstract,"Chaos #001: Evolution, is a dynamic, energising addition to my collection of abstract paintings, focusing on the themes of positive energy, expanding forces, and the intricate interplay of light and geometry. This captivating artwork aims to inspire viewers, igniting their senses with its bold display of motion and energy. 
 
In ""Evolution,""[...]",https://www.artmajeur.com/martin-underwood/en/artworks/16825351/chaos-001-evolution,downloaded_images/16825351_posecreativemedia-15-xl.jpg
Woman 2024 Portrait Femme Pop-Art,Kirlian,72.0,"['Matisse', 'Gauguin', 'Raysse', 'Pop', 'Pop culture', 'Couleur', 'Femme', 'Portrait', 'Kirlian', 'Woman', 'Féminin', 'Visage', 'Corps', 'Art', 'Digital', 'Lumière', 'Peinture', 'yeux', 'bouche', 'Regard']",,Pop Art,"Un Portrait très libre de la Femme en 2024 
L’Eternel féminin revisité Pop-Art, inspiré des chefs d’œuvres de Matisse, Renoir, Gauguin et Martial Raysse..

                
                    About this artwork: Classification, Techniques & Styles
                [...]",https://www.artmajeur.com/kirlian/en/artworks/17522320/woman-2024-portrait-femme-pop-art,downloaded_images/17522320_7190ba55-fb6e-4ed6-9d7d-0e1ddea852cf.jpg
Mm08,Daniel Porto,28.94,"['abstract', 'black', 'ink', 'charcoal', 'minimalistic']",,Abstract,"Introducing my latest series of abstract art inspired by the color black. I found inspiration in the beauty of black ink, charcoal and graphite, and translated it into a series of captivating pieces. Each piece is a unique exploration of black, with layers of texture and depth that invite the viewer to dive in and get lost in the subtle nuances of[...]",https://www.artmajeur.com/danielporto/en/artworks/16807288/mm08,downloaded_images/16807288_midnight-movements-08.jpg
