Title,Artist,Price,Description,Dimensions,Style,Link,Image Path
10 decem Jīngjīng Crystal Rhapsody,Jingjing 晶晶,E AVAILABLE ON REQUEST,10 decem Jīngjīng Crystal Rhapsody  by Jingjing 晶晶,"Height 80cm, Width 80cm",Futurism,"https://anasaea.com/viewArtPiece/q8AgwniwZucQgTcDQ
",downloaded_images/q8AgwniwZucQgTcDQ_pic1024.jpeg
Top-Down,Antonella Torquati,$650,"Women are a world to discover... // This painting is on sale as art-NFT (on demand ) and/or printable on alu-PVC panel (limited edition, 1/3); the physical artwork will be shipped from Italy; the  indicated price refers to the printable painting (40x40) and may vary depending on the size of the print (e.g. 30x30 or 50x50).","Height 40cm, Width 40cm",Contemporary art,"https://anasaea.com/viewArtPiece/t7o4gGcFPtupJ5kAC
",downloaded_images/t7o4gGcFPtupJ5kAC_pic1024.jpeg
Salti,Marcel Luetolf,$700,Salti by Marcel Luetolf,"Height 70cm, Width 50cm",Modern art,"https://anasaea.com/viewArtPiece/rJfM5FdwTQSa6hPin
",downloaded_images/rJfM5FdwTQSa6hPin_pic1024.jpeg
foxy lady (art deco),Leeloo_mp / Masha B.,$155,(Titel by Jimi Hendrix),"Height 45cm, Width 30cm",Surrealism,"https://anasaea.com/viewArtPiece/Rc9ceSC2go4WoDhRB
",downloaded_images/Rc9ceSC2go4WoDhRB_pic1024.jpeg
THE QUARTERS,HD ARTWORK,$429,THE QUARTERS by HD ARTWORK,"Height 50cm, Width 40cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/xZN2fB6Zssjc23BCd
",downloaded_images/xZN2fB6Zssjc23BCd_pic1024.jpeg
Indian Kathak Dancer,Maryam Hassan,$499,"This large Indian Kathak Dancer painting is being sold as an original art print signed by the artist. Size is 60cmx120cm. This painting was created using mixed media, acrylic paints, oil paints and then digitally edited. This painting was created using Mixed Media method mainly digital. Size is 60cmx90cm. This digital artwork is being sold as a digital art print. A perfect addition to your dining room, bedroom or living room.","Height 60cm, Width 120cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/YycgCwAwy2q697EDp
",downloaded_images/YycgCwAwy2q697EDp_pic1024.jpeg
Disfrutando de la puesta de sol,José Miguel,E AVAILABLE ON REQUEST,Disfrutando de la puesta de sol by José Miguel,"Height 60cm, Width 100cm",,"https://anasaea.com/viewArtPiece/vndztTEYbk8u4TkLc
",downloaded_images/vndztTEYbk8u4TkLc_pic1024.jpeg
Io vivo (I live) #1,Antonella Torquati,$650,"This painting is part of a project dedicated to women and their resilience... // This painting is on sale as art-NFT (on demand ) and/or printable on alu-PVC panel (limited edition, 1/3); the physical artwork will be shipped from Italy; the  indicated price refers to the printable painting (50x63) and may vary depending on the size of the print.","Height 63cm, Width 50cm",Contemporary art,"https://anasaea.com/viewArtPiece/udXHvMaP4k2JbjBky
",downloaded_images/udXHvMaP4k2JbjBky_pic1024.jpeg
Grace,L.A. Moor,$99873,"“I am grace, accepting the unfolding of my dreams.” 

“Grace” represents the ease and harmony that can flow through your life when you’re aligned with your manifestation journey. This painting is a tribute to the grace with which the universe orchestrates events, reminding you to trust in the process and accept the unfolding of your dreams with grace and gratitude. 

9 prints of this size, each comes with a numbered Certificate of Authenticity.

Mount border size:  top 0.9 inches; bottom 0.9 inches; 0.6 inches left; 0.6 inches right.

Each print comes with a choice of frame: Oak, Black, and White 

You may order directly from www.lamoorart.com","Height 70cm, Width 100cm",Post-Impressionism,"https://anasaea.com/viewArtPiece/8GmGxHyrrkAZrGZQu
",downloaded_images/8GmGxHyrrkAZrGZQu_pic1024.jpeg
ARLECCHINO,frank soprano,$300,ARLECCHINO by frank soprano,"Height 90cm, Width 120cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/FNdrcAvRptwhH7YPf
",downloaded_images/FNdrcAvRptwhH7YPf_pic1024.jpeg
"Underground - ""Year 2050""",tiziana bozza,$6000,New York underground style,"Height 1000cm, Width 1000cm",Modern art,"https://anasaea.com/viewArtPiece/wWRYmzR7Frp3T5odY
",downloaded_images/wWRYmzR7Frp3T5odY_pic1024.jpeg
Planet 9,MICHEL GUY,$999,Planet 9 by MICHEL GUY,"Height 84cm, Width 60cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/vNjXMj2iQXnQuhXL3
",downloaded_images/vNjXMj2iQXnQuhXL3_pic1024.jpeg
Ｎｉｇｈｔｍａｒｅ,Fausto Chinelato,,"""The Creature in your Dreams"".",,Gothic art,"https://anasaea.com/viewArtPiece/4krxgJCfThAtWFj7r
",downloaded_images/4krxgJCfThAtWFj7r_pic1024.jpeg
#123 Cheongpyeong(Digital. Ver),JongSeok LEE,$1131,"(2023, digital, watercolor)

Space is the physical space that is real in reality. It is a space in an environment that we can see in our daily life.",,,"https://anasaea.com/viewArtPiece/vAYhFTqT9SsuC9AHm
",downloaded_images/vAYhFTqT9SsuC9AHm_pic1024.jpeg
360 NEURAL COEVOLUTION 15,Pedro Morales,$1500,"NEURAL COEVOLUTION is a 360 Panorama project that invites the audience to immerse themselves in a world of organic forms and natural patterns, in a visionary world of fungi and fractals. The project explores current events through art, using mushrooms as a symbol of adaptation, diversity and wonder. The 360 Panoramas describe a speculative aesthetic of nature, using tessellations, symmetry and patterns within patterns. The project aims to evoke a sense of curiosity and connection with the natural world, as well as a reflection on the role of mushrooms in our society and culture. Based on the Mushroom at the end of the World by Anna Tsing. -------------------------------------------------------------------------------------------- 360 Sphere image, Original jpg RGB, 6144 x 3072 pxls. Neural Coevolution Series 2023 Pedro Morales.","Height 3072cm, Width 6144cm",Naturalism,"https://anasaea.com/viewArtPiece/AHqCwspXP8K9vFweS
",downloaded_images/AHqCwspXP8K9vFweS_pic1024.jpeg
My Battery Is Almost Dead,Taiomi Kunst,E AVAILABLE ON REQUEST,My Battery Is Almost Dead by Taiomi Kunst,,Dada,"https://anasaea.com/viewArtPiece/7ddN9ivf5LmPJdj93
",downloaded_images/7ddN9ivf5LmPJdj93_pic1024.jpeg
Sirena - Year 2050,tiziana bozza,$3500,Freedom under the sea ,"Height 1000cm, Width 1000cm",Modern art,"https://anasaea.com/viewArtPiece/2fR2vadadYdq6zhAr
",downloaded_images/2fR2vadadYdq6zhAr_pic1024.jpeg
avatarmylife 005,riccardo burgio,$500,avatarmylife 005 by riccardo burgio,"Height 60cm, Width 60cm",Surrealism,"https://anasaea.com/viewArtPiece/jkEdKGPscoX7embLv
",downloaded_images/jkEdKGPscoX7embLv_pic1024.jpeg
Andy Warhol,Antonella Torquati,$600,"Andy Warhol could not miss! // This painting is on sale as art-NFT (on demand ) and/or printable on alu-PVC panel (limited edition, 1/3); the physical artwork will be shipped from Italy; the  indicated price refers to the printable painting (40x40) and may vary depending on the size of the print (e.g. 30x30 or 50x50).","Height 40cm, Width 40cm",Contemporary art,"https://anasaea.com/viewArtPiece/CwzcXQvG9ZxejX8ev
",downloaded_images/CwzcXQvG9ZxejX8ev_pic1024.jpeg
Shark Warriors,Shari Blackwell,E AVAILABLE ON REQUEST,"Digital Art, Native American Indian, Shark Warriors",,Modern art,"https://anasaea.com/viewArtPiece/jYZ3qnZTAHbEeWRnK
",downloaded_images/jYZ3qnZTAHbEeWRnK_pic1024.jpeg
Her Turtle Island V1,"LEE ""CASSO"" MCCORMICK",$375,"A fantastic scene from an ongoing series of works entitled ""Her Turtle Island"". The theme of these works are exotic places and the beautiful women who survive and thrive there.","Height 40.64cm, Width 60.96cm",Art Nouveau,"https://anasaea.com/viewArtPiece/nZPRt6KixP3FEf5hd
",downloaded_images/nZPRt6KixP3FEf5hd_pic1024.jpeg
The Cage,Antonella Torquati,$650,"I created this artwork during the pandemic: it symbolizes the liberation from both the inner and physical cages... // This painting is printable on alu-PVC panel (limited edition, 1/3); the physical artwork will be shipped from Italy; the  indicated price refers to the printable painting (56x40) and may vary depending on the size of the print (e.g. 70x50).","Height 40cm, Width 56cm",Contemporary art,"https://anasaea.com/viewArtPiece/hSNzPGwZvCdf2PKJa
",downloaded_images/hSNzPGwZvCdf2PKJa_pic1024.jpeg
Pink and lime green Celebration,Alana Makeda,E AVAILABLE ON REQUEST,"A young girl with a radiant smile and sparkling eyes. She has dark brown hair styled in braids, some of which are playfully sticking out to the sides, and she is wearing a bright pink headband that matches her vibrant pink hoodie. The background is a lively, abstract design with floral and swirl patterns in various shades of pink and green, which creates a cheerful and energetic setting that corresponds with her joyful demeanor.",,,"https://anasaea.com/viewArtPiece/x5heDw4NCztsAuo97
",downloaded_images/x5heDw4NCztsAuo97_pic1024.jpeg
Grounded in the Universe,Joana Casaca,$80,Grounded in the Universe by Joana Casaca,"Height 44.13cm, Width 63.18cm",,"https://anasaea.com/viewArtPiece/RYiga38pWceuBKbmp
",downloaded_images/RYiga38pWceuBKbmp_pic1024.jpeg
Climax and Vulnerability,Marcello Castellani,E AVAILABLE ON REQUEST,"Event in Berlin 2024, KitKat Salon Rouge",,Modern art,"https://anasaea.com/viewArtPiece/SFoFFMmyTztgk6qcG
",downloaded_images/SFoFFMmyTztgk6qcG_pic1024.jpeg
"Fun-tastic Beasts, The Poised",Gianfranco Fagotto,$300,"Photorealistic illustrations of iconic animals dressed elegantly. Each illustration portrays an animal in a realistic and detailed manner, capturing its unique physical features, textures, and colours.

The animals' outfits take cues from different fashion styles, both contemporary and classic, while also integrating their individual physical attributes into the overall design.

The finished illustrations are suitable for a range of uses, including print and digital media, advertising campaigns, and editorial content. They also serve as a unique and visually striking addition to any art collection, appealing to animal lovers and art enthusiasts alike.

https://gianfrancofagotto.name/illustration-funtastic-beasts.html","Height 90cm, Width 60cm",Photorealism,"https://anasaea.com/viewArtPiece/c6Pha9GxxTqp6t2Je
",downloaded_images/c6Pha9GxxTqp6t2Je_pic1024.jpeg
Utopia,Mistake Ann,E AVAILABLE ON REQUEST,Utopia  by Mistake Ann,,Surrealism,"https://anasaea.com/viewArtPiece/GF34rNEiACQuwhimb
",downloaded_images/GF34rNEiACQuwhimb_pic1024.jpeg
Timeless beauty (Yellow),Zoran Kostić,$960,Timeless beauty (Yellow) by Zoran Kostić,"Height 70cm, Width 50cm",Contemporary art,"https://anasaea.com/viewArtPiece/HKjDL9dWiL74thjZR
",downloaded_images/HKjDL9dWiL74thjZR_pic1024.jpeg
Phantom,Sarino Tesandori,$2500,Hand drawn.  Free nft with purchase. ,"Height 200cm, Width 100cm",Contemporary art,"https://anasaea.com/viewArtPiece/GGKbT6yuKpHBsLpBw
",downloaded_images/GGKbT6yuKpHBsLpBw_pic1024.jpeg
Gangster Clown,Yoalah Brinson,$70,Gangster Clown by Yoalah Brinson,,Hyperrealism,"https://anasaea.com/viewArtPiece/swgtwrXTnmBw94a5u
",downloaded_images/swgtwrXTnmBw94a5u_pic1024.jpeg
See you - Year 2050,tiziana bozza,$5500,I see you  - we are one soul,"Height 1000cm, Width 1000cm",Conceptual art,"https://anasaea.com/viewArtPiece/qeRfMbs52v5f3nYaJ
",downloaded_images/qeRfMbs52v5f3nYaJ_pic1024.jpeg
La Provence,Mersi,$140,"Dreaming of life in Provence.

As this is digital art, the width and height can be adjusted to your requirements!","Height 48cm, Width 68cm",Contemporary art,"https://anasaea.com/viewArtPiece/XXPaacDFokkt332yT
",downloaded_images/XXPaacDFokkt332yT_pic1024.jpeg
becoming one_,DreamSculptor Abstractions,,"In the heart of a rustic wilderness, where the timeless melodies of nature play in harmony with the strumming of a guitar, there exists a moment of profound connection. ""Becoming One"" captures the essence of a man whose music transcends boundaries, merging him with the very soul of the landscape.","Height 81.28cm, Width 60.96cm",Street art,"https://anasaea.com/viewArtPiece/SWh5sQRZiNfR2wLyz
",downloaded_images/SWh5sQRZiNfR2wLyz_pic1024.jpeg
CHILD OF MINE,Leia Leiba,,"""Child of Mine"" is a Soulstration (soulful illustration) born from meditation and poetry and then created using intuition and digital tech. ~ Printed on Premium Archival Smooth Matte Fine Art Paper ~ Inspired by the following poem that shares its title. Seek and discover the words and phrases within the poem that brought the art to life. ~ Poem: ~ Tight, my chest 
Familiar pressure 
I feel it, sense it 
Taking control
You tell me I'm fine 
My life sublime
No reason, nor rhyme 
For this feeling - is there?

Dare to look
In my heart -
You'd crumble apart 
From all it pumped
Through the years - 
The fears, the tears

All better now
You say
Have what you need
Planted your seed
Done a good deed - 
Hold on, please!

There's a child within
She hasn't had her fill
Of life
Sick of strife
Tired of have to's 
Could's, would's and should's
It's her in there
Squeezing tight
With all her might
Listen to me - 
Let me out!
I want the day
Tomorrow, too 
To be with you

This pain won't subside
I get it, I do
At last, sweet child 
I will listen to you 
Tell me honey
Promise you sunny

Hand to my chest
First breath of tomorrows
Lungs expand -
My sweet-heart is free
Tightness evaporates 
l unite with me

Compassion
Feels near
For this darling dear
Come child, lead the way

All better now, she says. ~ From the book “The Treasured Chest: poems and illustrations for coloring and contemplation"" by Leia Chamish. ♡ Visit Leia online at LLsage.com and on IG: @llsage.art","Height 76.2cm, Width 76.2cm",Symbolism,"https://anasaea.com/viewArtPiece/bzGSNik9N2XWBZ4C3
",downloaded_images/bzGSNik9N2XWBZ4C3_pic1024.jpeg
Jubilee a Celebration,Jo Costello,,Jubilee Header,"Height 1500cm, Width 500cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/Wxv9Aocey54N28ofA
",downloaded_images/Wxv9Aocey54N28ofA_pic1024.jpeg
USER VI,Matt Almeida,,"REPORT FILE 080 | 2024.01.14

Operation GESTALT has been successfully performed on subject YONA. Vitals have been declared to be stable by Professor PERL. 

Subject is behaving normally. Results concerning GESTALT have yet to manifest. 

UPDATE 2024.01.23 : The Scrawl seems to have begun. A team of laboratory assistants entered the subject’s room today, finding the walls plastered with images depicting visions of landscapes and human-like creatures. 

Professor PERL believes we might get our answers soon. ",,,"https://anasaea.com/viewArtPiece/AG9HxBSNmdzh5Ht3u
",downloaded_images/AG9HxBSNmdzh5Ht3u_pic1024.jpeg
Gratitude,L.A. Moor,$99873,"“I am gratitude, appreciating all life’s blessings.” 

“Gratitude” is a testament to the power of appreciation in the manifestation process. This painting encourages you to cultivate a sense of gratitude for all the blessings in your life, both big and small. Gratitude not only uplifts your spirit but also raises your vibrational frequency, aligning you with the energy of abundance and allowing you to manifest more of what you appreciate in life. 

9 prints of this size, each comes with a numbered Certificate of Authenticity.

Mount border size:  top 0.9 inches; bottom 0.9 inches; 0.6 inches left; 0.6 inches right.

Each print comes with a choice of frame: Oak, Black, and White 

You may order directly from www.lamoorart.com","Height 70cm, Width 100cm",Post-Impressionism,"https://anasaea.com/viewArtPiece/mnsKcWbrYEgg2uPkG
",downloaded_images/mnsKcWbrYEgg2uPkG_pic1024.jpeg
Girl with flowers,Guntars,$150,Print on canvas. From 30x30 to 80x80 cm,"Height 80cm, Width 80cm",,"https://anasaea.com/viewArtPiece/39yL9g9qAWdTHjqvT
",downloaded_images/39yL9g9qAWdTHjqvT_pic1024.jpeg
Cogli la prima mela,Fabrizio Bidoli,$2500,"entrare in una dimensione e condizione diversa dalla consuetudine, lasciarsi andare senza limiti o tabù, caduta libera in un fluido blu denso come i cattivi pensieri, ma qui sono non cattivi pensieri
Perverso latex nero","Height 80cm, Width 50cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/ReF7J4PA8Y65FDhK4
",downloaded_images/ReF7J4PA8Y65FDhK4_pic1024.jpeg
My Tribe,Natasia Nair,,"""My Tribe"" 
Available at: www.natasianair.com 

Contact Artist for Custom Work: Natasianair@gmail.com

- On Museum Quality Matte Paper Poster
- Certificate of Authenticity with Print #, Official Artist Seal and Signature
- Delivers Worldwide

In this vibrant piece, three young women are depicted with authentic connection and camaraderie. Their expression convey a sensual feel and  mutual understanding as if they are completely in tune with each other.   Bold colors, oil painting style depiction in digital.
","Height 100cm, Width 75cm",Contemporary art,"https://anasaea.com/viewArtPiece/Gq4wiA65WRetY8y3v
",downloaded_images/Gq4wiA65WRetY8y3v_pic1024.jpeg
avatarmylife 0002,riccardo burgio,$500,avatarmylife 0002 by riccardo burgio,"Height 60cm, Width 60cm",Surrealism,"https://anasaea.com/viewArtPiece/4bKjQK4Anc2T5D64P
",downloaded_images/4bKjQK4Anc2T5D64P_pic1024.jpeg
seamus,Leeloo_mp / Masha B.,$155,(Titel by Pink Floyd),"Height 45cm, Width 30cm",Surrealism,"https://anasaea.com/viewArtPiece/4zDqYNdhgpB32yqXJ
",downloaded_images/4zDqYNdhgpB32yqXJ_pic1024.jpeg
People,Antonella Torquati,$650,"Apparently disconnected, people who need people are the luckiest people in the world :) // This painting is on sale as art-NFT (on demand ) and/or printable on alu-PVC panel (limited edition, 1/3); the physical artwork will be shipped from Italy; the  indicated price refers to the printable painting (40x40) and may vary depending on the size of the print (e.g. 30x30 or 50x50).","Height 40cm, Width 40cm",Contemporary art,"https://anasaea.com/viewArtPiece/tf9DKMQjxk82KMhei
",downloaded_images/tf9DKMQjxk82KMhei_pic1024.jpeg
inspired art,smriti pandey,$13.07,"digital art inspired by the characters of an anime, demon slayer",,,"https://anasaea.com/viewArtPiece/eCHZbeSwuMez8e5AA
",downloaded_images/eCHZbeSwuMez8e5AA_pic1024.jpeg
VIALE ROSSO 120X60,frank soprano,$500,VIALE ROSSO 120X60 by frank soprano,"Height 60cm, Width 120cm",,"https://anasaea.com/viewArtPiece/pCCKCaY2K8degpbn4
",downloaded_images/pCCKCaY2K8degpbn4_pic1024.jpeg
"Fun-tastic Beasts, The Self-confident",Gianfranco Fagotto,$300,"Photorealistic illustrations of iconic animals dressed elegantly. Each illustration portrays an animal in a realistic and detailed manner, capturing its unique physical features, textures, and colours.

The animals' outfits take cues from different fashion styles, both contemporary and classic, while also integrating their individual physical attributes into the overall design.

The finished illustrations are suitable for a range of uses, including print and digital media, advertising campaigns, and editorial content. They also serve as a unique and visually striking addition to any art collection, appealing to animal lovers and art enthusiasts alike.

https://gianfrancofagotto.name/illustration-funtastic-beasts.html","Height 90cm, Width 60cm",Photorealism,"https://anasaea.com/viewArtPiece/5XJnPsBkNvz3QZeAT
",downloaded_images/5XJnPsBkNvz3QZeAT_pic1024.jpeg
Yakuza Parrot. Oshita,Ana Mangot,E AVAILABLE ON REQUEST,Yakuza Parrot. Oshita by Ana Mangot,,Japonisme,"https://anasaea.com/viewArtPiece/6zCKLsbnPdxg2TSrw
",downloaded_images/6zCKLsbnPdxg2TSrw_pic1024.jpeg
Samurai Tiger,Edwin Morel,$200,Birthed from a love of Japanese history and storytelling. ,"Height 182.88cm, Width 91.44cm",American Realism,"https://anasaea.com/viewArtPiece/nJEgX5r4NPLZeaPGd
",downloaded_images/nJEgX5r4NPLZeaPGd_pic1024.jpeg
Abstract mixy,Nilza Reis,,Abstract mixy by Nilza Reis,,Abstract expressionism,"https://anasaea.com/viewArtPiece/RdPtrdQjuGJgRAA4a
",downloaded_images/RdPtrdQjuGJgRAA4a_pic1024.jpeg
Metamorphosis,Bykynys in,$5000,"Metamorphosis: A Digital Odyssey by Bykynys in New York

Step into the mesmerizing realm of Metamorphosis, where pixels dance, and code weaves dreams. Bykynys, a visionary digital artist hailing from the bustling streets of New York, invites you to embark on an electrifying journey through the binary cosmos.

The Artwork: A Symphony of Pixels
Metamorphosis is not merely a static 9 canvas with 150x150 each ; it’s a living, breathing entity. Bykynys masterfully blends abstract forms, glitch aesthetics, and generative algorithms to create a digital symphony. Each pixel pulses with life, echoing the rhythm of transformation.

The Process: From 0s and 1s to Infinity
Behind the scenes, Bykynys dives into the binary abyss. Lines of code metamorphose into kaleidoscopic visions. The artist’s studio resembles a sorcerer’s den, where algorithms collide, mutate, and birth new realities. Witness the birth of fractal butterflies, glitched landscapes, and neon constellations.

The Journey: Navigating the Digital Chrysalis
As you traverse the exhibition space, prepare to shed your preconceptions. The walls breathe, the floor ripples, and the ceiling shatters. Bykynys beckons you to explore the chrysalis of pixels—a liminal space where boundaries blur. Are you a spectator or a participant? The answer lies in your interaction with the art.

The Augmented Reality Portal
Don’t miss the centerpiece—an augmented reality portal pulsating at the heart of the exhibit. Step through its shimmering veil, and you’ll find yourself in a parallel dimension. Here, gravity bends, colors defy logic, and time dances to an otherworldly beat. Bykynys whispers, “This is where metamorphosis begins.”

The Closing Performance: A Digital Pas de Deux
On the exhibition’s final night, Bykynys collaborates with renowned dancer Louise Lecavalier. Their bodies become pixels, their movements algorithms. Together, they perform a digital pas de deux, blurring the lines between flesh and code. Witness the climax—a fusion of art and technology.","Height 150cm, Width 150cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/57wZz2cmgB5TJoWML
",downloaded_images/57wZz2cmgB5TJoWML_pic1024.jpeg
Einstein Robot,Cainan Barnett,$250,Einstein Robot by Cainan Barnett,"Height 90cm, Width 90cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/SfkzTqhhzmpWSMrw9
",downloaded_images/SfkzTqhhzmpWSMrw9_pic1024.jpeg
Midas Tears,Tia Maze,,Midas Tears by Tia Maze,,,"https://anasaea.com/viewArtPiece/uesm6Yks226jjggzB
",downloaded_images/uesm6Yks226jjggzB_pic1024.jpeg
cyber punk,Greta Różańska,$200,My favorite cyberpunk painting,"Height 54cm, Width 54cm",Contemporary art,"https://anasaea.com/viewArtPiece/dJfSJYHZvsesjRATh
",downloaded_images/dJfSJYHZvsesjRATh_pic1024.jpeg
Estación alquímica,Kyber koacervado,$222,"Estación alquímica

Estructura autosimilar en forma a una plataforma petrolera marina, sin embargo su función es muy diferente: La estación alquímica obtiene elementos primordiales disueltos en agua de mar para transmutarlos en cualquier sustancia necesaria o requerida.



Detalles de la obra de arte:
Estación alquímica, Por koacervado 23 de abril de 2023
Imagen fotorrealista generada por computadora.
Representación 3D generada a partir de la iteración booleana de varias fórmulas de geometría fractal.
Tamaño original: 7000px x 7000px, 49 megapíxeles (Mpx)
Tiempo de renderizado 12 horas 04 minutos y 31 segundos.
Temperatura máxima del sistema: 70°C. CPU de 4,45 GHz, GPU de 1320 MHz","Height 76cm, Width 76cm",Futurism,"https://anasaea.com/viewArtPiece/FxqF6tcniPJauabn6
",downloaded_images/FxqF6tcniPJauabn6_pic1024.jpeg
Jolly Joker,Mersi,$140,"The strength of character comes out when we play with ourselves.

As this is digital art, the width and height can be adjusted to your requirements!","Height 50cm, Width 50cm",Contemporary art,"https://anasaea.com/viewArtPiece/yB42TMhq9peqhJukh
",downloaded_images/yB42TMhq9peqhJukh_pic1024.jpeg
Satyr no2,Anastasios Patsilinakos,$2000,Satyr no2 by Anastasios Patsilinakos,"Height 180cm, Width 150cm",Pop art,"https://anasaea.com/viewArtPiece/Z6QbYe64RmkL8LTnB
",downloaded_images/Z6QbYe64RmkL8LTnB_pic1024.jpeg
BLUE DAYS,Karen Glykys,$350,"Smartphone Photography PhoneArt 
Limited edition of 75 

Giclee edition
 
Printed on Archival Innova Cotton rag Ink Jet Paper 

I have been pioneering PhoneArt since 2017. Now a recognised art form. 

Smartphone art is photographic Art photographed, manipulated and edited entirely on a mobile phone using free android apps only. 

The process is entirely experimental.","Height 89.1cm, Width 59.4cm",Pop art,"https://anasaea.com/viewArtPiece/e8YhaFW5b4T4nKqLJ
",downloaded_images/e8YhaFW5b4T4nKqLJ_pic1024.jpeg
Paradise gate,Heli An,$55,Paradise gate by Heli An,,Futurism,"https://anasaea.com/viewArtPiece/oJmByx36YoBs9yq6v
",downloaded_images/oJmByx36YoBs9yq6v_pic1024.jpeg
Nesting Of The Solar System,Joaquim Vidal,$8500,Pure futurist digital art,"Height 200cm, Width 200cm",Contemporary art,"https://anasaea.com/viewArtPiece/uKShEGpCeZgAQjfDN
",downloaded_images/uKShEGpCeZgAQjfDN_pic1024.jpeg
The World of Tomorrow,Jaime Bauti,,I challenge viewers to confront the consequences of societal decay and the ramifications of complacency.,,Conceptual art,"https://anasaea.com/viewArtPiece/QabTxCQfGqeiWm3pM
",downloaded_images/QabTxCQfGqeiWm3pM_pic1024.jpeg
A Textured Rose Smile,kimberly rhymer,$200,A Textured Rose Smile by kimberly rhymer,"Height 8cm, Width 10cm",Art Nouveau,"https://anasaea.com/viewArtPiece/KiQTKMNpf3kaJYxwR
",downloaded_images/KiQTKMNpf3kaJYxwR_pic1024.jpeg
